Content-type: text/plain

#
# File created on 2024-07-27 21:02:48 EDT
# Refresh Date: 2018-06
#
# U.S. Geological Survey
#
# This file contains selected WaterUse data 
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
#  * References to sources of water-use data can be found here. - https://water.usgs.gov/watuse
#
#  Search Criteria:
#  Year(s)          - 1950,1955,1960,1965,1970,1975
#  Area             - 
#  County Codes(s)  - 
#  County Name(s)   - 
#  Category Code(s) - ALL
#  Category Name(s) - --ALL Categories--
#
#  Columns:
#  National Totals - Summary
#
#  The following years are included: 
#  1950 
#  1955 
#  1960 
#  1965 
#  1970 
#  1975 
#
National Totals	1950	1955	1960	1965	1970	1975
100s	16s	16s	16s	16s	16s	16s
Population, in millions	150.7	164.0	179.3	193.8	205.9	216.4
Total withdrawals, in Bgal/d	180	240	270	310	370	420
Public supply, in Bgal/d	14	17	21	24	27	29
Self-supplied domestic, in Bgal/d	2.1	2.1	2.0	2.3	2.6	2.8
Livestock, in Bgal/d	1.5	1.5	1.6	1.7	1.9	2.1
Irrigation, in Bgal/d	89	110	110	120	130	140
Thermoelectric power, in Bgal/d	40	72	100	130	170	200
Self-supplied industrial, in Bgal/d	37	39	38	46	47	45
Mining, In Bgal/d	b	b	b	b	b	b
Commercial, in Bgal/d	b	b	b	b	b	b
Aquaculture, in Bgal/d	b	b	b	b	b	b
Total Groundwater, fresh, in Bgal/d	34	47	50	60	68	82
Total Groundwater, saline, in Bgal/d	c	0.6	0.4	0.5	1.0	1.0
Total Surface water, fresh, in Bgal/d	140	180	190	210	250	260
Total Surface water, saline, in Bgal/d	10	18	31	43	53	69
